date,time,level,name,message
2025-06-18,20:20:32,INFO,log,"SubHub initiated (log file: [/workspaces/SubHub/backend/src/logs/log_1750278032.log])"
2025-06-18,20:20:32,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:32,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:32,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:32,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:32,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:32,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,WARNING,log,"Registration failed - email already exists: [test@example.com]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 400 Bad Request""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test_valid@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test_valid@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,log,"Registration attempt: [test@example.com] from IP [testclient]!"
2025-06-18,20:20:33,ERROR,log,"Could not save data to file: ['User' object has no attribute 'model_dump']!"
2025-06-18,20:20:33,INFO,log,"User registered successfully: [test@example.com], name: [Test User]!"
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 201 Created""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/login "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 422 Unprocessable Entity""
2025-06-18,20:20:33,INFO,httpx,"HTTP Request: POST http://testserver/register "HTTP/1.1 422 Unprocessable Entity""
